number_of_bedrooms,square_footage,locations,age,price
3.0,1403.0,suburb area,24.0,205481.0
1.0,1368.0,street no 02,27.0,164572.0
3.0,498.0,street no 03,33.0,104420.0
3.0,1818.0,street no 02,24.0,233442.0
4.0,880.0,gulberg,9.0,166235.0
3.0,1530.0,street no 01,13.0,209595.0
3.0,1639.0,street no 04,29.0,197894.0
6.0,2180.0,street no 05,24.0,278801.0
1.0,846.0,gulberg,13.0,124378.0
4.0,300.0,street no 06,34.0,78371.0
6.0,1592.0,street no 05,33.0,206913.0
5.0,,street no 01,9.0,298474.0
1.0,2119.0,street no 03,34.0,224194.0
1.0,1605.0,street no 01,10.0,162503.0
5.0,1254.0,downtown,10.0,172890.0
3.0,1904.0,,20.0,205959.0
6.0,1013.0,street no 05,20.0,174784.0
2.0,1738.0,suburb area,21.0,207134.0
4.0,1753.0,downtown,,217946.0
2.0,2030.0,gulberg,16.0,232294.0
,2880.0,street no 06,1.0,319504.0
1.0,1696.0,street no 08,11.0,199535.0
1.0,1246.0,street no 10,17.0,154838.0
4.0,1487.0,suburb area,10.0,225060.0
1.0,615.0,street no 01,15.0,87785.0
1.0,1153.0,street no 04,,141850.0
,1295.0,street no 10,34.0,193332.0
6.0,1238.0,downtown,25.0,192688.0
6.0,1576.0,street no 01,15.0,250022.0
4.0,1089.0,street no 09,5.0,188326.0
5.0,2061.0,downtown,11.0,246598.0
1.0,1500.0,street no 07,12.0,142766.0
1.0,,street no 07,3.0,145959.0
5.0,1336.0,suburb area,38.0,221733.0
6.0,1578.0,street no 05,1.0,231999.0
3.0,1913.0,street no 07,,199464.0
3.0,1066.0,suburb area,26.0,179541.0
3.0,1171.0,north nazimabad,26.0,149486.0
6.0,1348.0,street no 02,14.0,253457.0
6.0,827.0,,7.0,182538.0
5.0,1090.0,gulberg,6.0,198084.0
1.0,1262.0,street no 04,39.0,134589.0
5.0,1937.0,defence phase 5,11.0,255873.0
5.0,1631.0,defence phase 5,12.0,213196.0
6.0,1597.0,street no 07,16.0,230441.0
3.0,1925.0,street no 03,16.0,234966.0
,1431.0,street no 02,35.0,788919.7222394003
1.0,1695.0,street no 10,20.0,184880.0
6.0,1448.0,street no 02,7.0,248669.0
3.0,1633.0,gulberg,4.0,212596.0
2.0,1209.0,street no 01,25.0,144275.0
2.0,300.0,street no 05,15.0,52294.0
6.0,,suburb area,35.0,235542.0
4.0,2211.0,street no 06,27.0,265029.0
1.0,1963.0,street no 06,28.0,184482.0
2.0,1983.0,street no 09,11.0,215133.0
6.0,2118.0,street no 04,36.0,291620.0
6.0,1544.0,street no 01,29.0,221065.0
3.0,1599.0,street no 06,,178730.0
,1191.0,north nazimabad,15.0,160862.0
1.0,,street no 05,13.0,139149.0
5.0,1808.0,street no 10,9.0,269412.0
3.0,2102.0,street no 06,6.0,223408.0
2.0,1430.0,street no 03,36.0,154196.0
2.0,1275.0,street no 02,28.0,179756.0
3.0,1500.0,street no 06,2.0,197670.0
6.0,1801.0,gulberg,14.0,259417.0
2.0,778.0,street no 01,35.0,108402.0
4.0,352.0,street no 07,18.0,98295.0
1.0,1225.0,street no 07,12.0,118024.0
4.0,890.0,street no 10,20.0,153368.0
2.0,1246.0,gulberg,36.0,167912.0
5.0,1426.0,street no 07,26.0,194836.0
1.0,1273.0,north nazimabad,28.0,127148.0
1.0,2226.0,suburb area,19.0,232402.0
3.0,1663.0,downtown,24.0,175448.0
3.0,1650.0,street no 10,5.0,198183.0
5.0,1811.0,street no 01,35.0,230537.0
6.0,931.0,north nazimabad,1.0,197764.0
1.0,2020.0,street no 04,21.0,197924.0
5.0,1462.0,gulberg,31.0,212578.0
3.0,1835.0,street no 07,15.0,205109.0
3.0,964.0,downtown,17.0,134404.0
1.0,723.0,street no 09,4.0,105197.0
4.0,1909.0,street no 05,35.0,213671.0
2.0,1688.0,gulberg,29.0,200949.0
3.0,1049.0,street no 02,18.0,171704.0
6.0,1065.0,street no 07,22.0,189524.0
6.0,2063.0,street no 10,33.0,301361.0
3.0,905.0,street no 01,12.0,127708.0
4.0,2321.0,street no 07,28.0,258841.0
4.0,1050.0,street no 06,35.0,148582.0
5.0,1819.0,street no 07,21.0,238449.0
6.0,,defence phase 5,35.0,208668.0
5.0,1802.0,gulberg,8.0,263947.0
,1228.0,street no 10,38.0,218643.0
2.0,1419.0,street no 03,18.0,175647.0
2.0,1520.0,north nazimabad,37.0,149179.0
1.0,999.0,street no 03,5.0,143187.0
5.0,1870.0,street no 07,14.0,228169.0
3.0,1243.0,gulberg,19.0,188377.0
5.0,1386.0,street no 02,8.0,235155.0
3.0,1003.0,street no 01,31.0,121086.0
4.0,300.0,street no 09,3.0,116950.0
5.0,1404.0,street no 09,17.0,220543.0
4.0,2706.0,street no 07,4.0,288555.0
2.0,1892.0,street no 07,19.0,168809.0
2.0,1490.0,street no 03,22.0,193046.0
1.0,1369.0,street no 10,10.0,164198.0
5.0,1511.0,north nazimabad,36.0,203703.0
4.0,1774.0,street no 02,21.0,240662.0
3.0,910.0,downtown,3.0,136375.0
2.0,2057.0,street no 07,,212562.0
2.0,1858.0,street no 09,33.0,195304.0
3.0,1859.0,street no 01,12.0,231038.0
4.0,1719.0,gulberg,8.0,245006.0
4.0,1510.0,defence phase 5,30.0,182338.0
5.0,1836.0,street no 04,6.0,275525.0
5.0,1796.0,street no 06,3.0,241553.0
6.0,1323.0,street no 07,18.0,209575.0
6.0,1213.0,street no 10,29.0,213708.0
1.0,1551.0,street no 07,30.0,135033.0
2.0,2275.0,street no 10,34.0,239665.0
5.0,880.0,street no 02,20.0,201080.0
4.0,766.0,defence phase 5,30.0,127296.0
3.0,1582.0,street no 04,18.0,201292.0
4.0,1525.0,street no 05,30.0,199891.0
2.0,1587.0,,31.0,162551.0
6.0,1622.0,suburb area,1.0,277139.0
4.0,1388.0,street no 01,9.0,203540.0
1.0,2245.0,street no 01,1.0,222507.0
2.0,700.0,street no 10,1.0,131302.0
6.0,1086.0,street no 03,23.0,214949.0
3.0,1448.0,north nazimabad,16.0,171906.0
6.0,678.0,north nazimabad,31.0,157539.0
1.0,1412.0,street no 10,15.0,159407.0
2.0,2331.0,street no 03,15.0,247859.0
3.0,1510.0,suburb area,38.0,188380.0
1.0,1615.0,street no 08,30.0,174819.0
6.0,870.0,street no 09,23.0,180621.0
1.0,1192.0,north nazimabad,0.0,129426.0
2.0,1312.0,defence phase 5,10.0,158350.0
5.0,1341.0,downtown,20.0,174298.0
1.0,2141.0,suburb area,3.0,222779.0
,1779.0,street no 01,6.0,178309.0
6.0,944.0,defence phase 5,25.0,180203.0
6.0,1623.0,downtown,11.0,1846432.7607850756
3.0,1749.0,street no 02,30.0,216828.0
6.0,2070.0,street no 10,16.0,300278.0
4.0,2290.0,street no 02,32.0,1313906.2496985835
2.0,992.0,north nazimabad,10.0,130333.0
2.0,1095.0,street no 04,27.0,140144.0
5.0,871.0,street no 02,31.0,175258.0
5.0,1383.0,street no 07,,198123.0
2.0,1733.0,gulberg,27.0,209310.0
5.0,1994.0,north nazimabad,6.0,256681.0
3.0,1462.0,street no 09,1.0,208249.0
6.0,1340.0,street no 07,23.0,205911.0
2.0,1576.0,suburb area,3.0,195487.0
5.0,1082.0,street no 06,18.0,190715.0
2.0,2545.0,north nazimabad,25.0,246374.0
4.0,,street no 10,10.0,158120.0
1.0,1592.0,street no 01,39.0,149827.0
6.0,2512.0,downtown,10.0,310689.0
2.0,1503.0,street no 10,2.0,183818.0
1.0,1405.0,street no 09,11.0,165823.0
5.0,1321.0,street no 05,2.0,184284.0
1.0,1410.0,downtown,26.0,136041.0
6.0,2186.0,street no 05,1.0,276984.0
2.0,394.0,street no 06,15.0,77476.0
4.0,2267.0,street no 09,1.0,290763.0
5.0,788.0,gulberg,29.0,178419.0
2.0,1367.0,street no 08,19.0,189302.0
6.0,1285.0,,37.0,232914.0
5.0,1794.0,defence phase 5,27.0,224319.0
3.0,701.0,street no 08,24.0,143514.0
1.0,1731.0,street no 01,31.0,154162.0
6.0,2512.0,street no 01,9.0,310946.0
3.0,818.0,street no 08,39.0,151728.0
2.0,1595.0,street no 05,32.0,159760.0
4.0,1169.0,street no 09,12.0,171621.0
5.0,1713.0,street no 02,36.0,263178.0
1.0,1510.0,street no 09,15.0,171843.0
5.0,1179.0,suburb area,21.0,218732.0
2.0,1744.0,defence phase 5,19.0,175670.0
5.0,2402.0,street no 08,26.0,306079.0
1.0,1405.0,street no 09,15.0,161005.0
2.0,1860.0,street no 04,33.0,194674.0
5.0,853.0,street no 01,31.0,156363.0
4.0,1022.0,street no 01,25.0,147238.0
6.0,1736.0,street no 05,24.0,235347.0
2.0,2242.0,street no 02,1.0,269679.0
6.0,1678.0,defence phase 5,11.0,236259.0
2.0,1343.0,street no 08,39.0,182845.0
4.0,1500.0,street no 10,8.0,207834.0
6.0,875.0,downtown,11.0,168242.0
3.0,1802.0,,25.0,192649.0
1.0,1941.0,street no 05,8.0,186079.0
3.0,1274.0,street no 02,9.0,206420.0
5.0,,street no 07,31.0,170148.0
4.0,1633.0,gulberg,33.0,218828.0
3.0,1282.0,street no 08,19.0,858679.0446283676
2.0,1467.0,street no 10,38.0,172428.0
5.0,2550.0,gulberg,1.0,328199.0
5.0,1376.0,street no 01,0.0,207339.0
3.0,1321.0,street no 02,35.0,185636.0
3.0,1176.0,street no 10,23.0,179956.0
4.0,1872.0,street no 04,26.0,222830.0
1.0,1409.0,street no 05,1.0,142882.0
3.0,1175.0,gulberg,30.0,157773.0
3.0,2161.0,street no 02,13.0,268704.0
6.0,2210.0,street no 01,1.0,306085.0
2.0,1200.0,street no 09,28.0,149577.0
6.0,567.0,defence phase 5,14.0,143809.0
6.0,,street no 01,11.0,266992.0
5.0,1158.0,gulberg,36.0,195561.0
,1895.0,north nazimabad,27.0,172966.0
2.0,515.0,street no 04,19.0,107941.0
4.0,1946.0,street no 02,38.0,244358.0
4.0,894.0,downtown,23.0,139324.0
3.0,1865.0,street no 04,20.0,220703.0
3.0,1507.0,street no 08,9.0,204749.0
4.0,1023.0,street no 08,13.0,182344.0
3.0,,north nazimabad,36.0,155645.0
1.0,1843.0,downtown,17.0,177083.0
6.0,1553.0,suburb area,23.0,254521.0
3.0,1792.0,street no 09,13.0,211273.0
5.0,2488.0,gulberg,33.0,313835.0
3.0,718.0,north nazimabad,11.0,112028.0
2.0,2309.0,downtown,21.0,222130.0
1.0,1552.0,north nazimabad,5.0,158734.0
2.0,1051.0,suburb area,35.0,149108.0
2.0,835.0,street no 05,35.0,96645.0
5.0,1405.0,street no 07,21.0,199185.0
1.0,1961.0,street no 03,13.0,181003.0
1.0,1436.0,street no 10,15.0,174795.0
1.0,2256.0,street no 04,35.0,209626.0
1.0,774.0,street no 10,24.0,111507.0
1.0,1494.0,street no 09,31.0,160905.0
5.0,,street no 10,32.0,182443.0
3.0,1682.0,,35.0,206965.0
2.0,1943.0,defence phase 5,19.0,192801.0
1.0,1290.0,suburb area,17.0,150658.0
3.0,300.0,street no 01,37.0,77691.0
3.0,1599.0,street no 02,2.0,209283.0
2.0,1718.0,street no 05,22.0,172653.0
5.0,1702.0,street no 03,31.0,237599.0
4.0,2118.0,street no 02,15.0,269449.0
4.0,964.0,street no 01,4.0,165436.0
3.0,1840.0,street no 10,3.0,232134.0
6.0,2096.0,street no 03,20.0,289338.0
6.0,611.0,street no 01,39.0,129968.0
2.0,1660.0,suburb area,13.0,199739.0
4.0,1248.0,street no 01,38.0,175963.0
3.0,1459.0,suburb area,30.0,206950.0
5.0,1674.0,street no 01,13.0,217691.0
4.0,1256.0,street no 08,5.0,201109.0
3.0,1162.0,north nazimabad,11.0,163309.0
3.0,1517.0,street no 03,15.0,197395.0
1.0,956.0,downtown,16.0,98411.0
5.0,957.0,street no 01,22.0,182076.0
1.0,1840.0,street no 07,13.0,170131.0
2.0,926.0,street no 10,6.0,140365.0
1.0,1833.0,street no 03,31.0,189163.0
1.0,,street no 08,14.0,210954.0
4.0,637.0,street no 04,16.0,145476.0
6.0,1161.0,street no 04,33.0,205479.0
3.0,2097.0,street no 05,4.0,227806.0
5.0,1009.0,street no 06,26.0,168270.0
1.0,1268.0,street no 07,22.0,128041.0
5.0,1731.0,defence phase 5,39.0,208888.0
